Item:,Link,Price (USD)
3D Printer,http://amazon.com/FLASHFORGE-Adventurer-5M-Detachable-220x220x220mm/dp/B0CH4NYL6J/ref=sr_1_1_sspa?crid=387SL9Z8I4SCA&dib=eyJ2IjoiMSJ9.WrEs-5M3ua3-JkeLtMXq8m0vNgGNMtrRTER92iIMS96RSyMJyJiCvErxLafdAjf0KidEWv60O8Laf84PtHDUtsHzbas4bAtOuakA8vdYtVJkDFxbJJ6j05tjCTm-ETEaVi1Esd9STcCp-sl1qIL5UX2O_H_lQyvpRzH3QPLGptByQi1Y3vBy0gYhyyQSEfRb3MJBpOlkxeYp_ZuIWer_gcfayPjyapfRWK86sT03NTE.iKgkpL0CHE_CSJnWLocWxW6XTg7BZ7TEfrAa9HDjJqM&dib_tag=se&keywords=3d+printer&qid=1786902183&sprefix=3d+printe%2Caps%2C370&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,$250
Sensors for reaserch,https://www.amazon.com/SunFounder-Sensor-Kit-Compatible-MicroPython/dp/B0D3GWJK82/ref=sr_1_2_sspa?crid=1NLF2IRQ249QU&dib=eyJ2IjoiMSJ9.OLes-jCBK9tBaQlNwJln-b0LEo_R5XlZ9jBSbodOnyme7k9DSOmm_SWE0ZxRL_O7oSfh052e193qNcRnBALgxd-Pj6qnVOY11Ly4b_uhtttEZxaMS64gwc7VFbr5lycpn1LN_b5x1t7tRMvQKmlRCxiIFXxXy1epnD-sTGoA9S5R4eUqQg2PPV2rjjb8aiAWuO6PCa9gcbdrYZ7ieZMDlXvyfPlDiA8E6aJC3NmUui4.rIsgUbOLS6TyAQmqw73iVL9w_PadbiM4ncFKVJgw2Lg&dib_tag=se&keywords=ESP32+kit&qid=1786902258&sprefix=esp32+k%2Caps%2C263&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,$70
ESP32,http://amazon.com/HiLetgo-ESP-WROOM-32-Development-Microcontroller-Integrated/dp/B0718T232Z/ref=sr_1_1_sspa?crid=387D8JD7U21DB&dib=eyJ2IjoiMSJ9.zZCaDiw6q9KeKmw1PEwpArtYjKqytu4ALjgOqQceSOnC-hSz60GKSDLLUDDZQ2dwpfTqRq1Kf6gofgQWHmArVstH8tFjy3COrt4enS_pCenJSGNUAPXC9sYcfCjXBQtz-sSdGdKrno2wlktmwWxTOz-MJAMf6MZeG4vbe1VlFhy70bE77NaqijX90L2QfDapq5xutW2bHE6aFQfXmH_U7IzWyavj7ieBqrvIC6Krb_c.VgYdiwfozp4ZmlHDAxGH4UgoVDmL8APDrH65P9E9xZ0&dib_tag=se&keywords=ESP32&qid=1786902355&sprefix=esp32+%2Caps%2C288&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,$10
Motor+ESC,https://www.amazon.com/abcGoodefg-Brushless-Propeller-Accessories-Quadcopter/dp/B08DXYLFQQ/ref=sr_1_17?crid=203WN4365PGOK&dib=eyJ2IjoiMSJ9.tGE8Vn9UvYYXjKTF6lIqPVX86Zbm5tlYdz0wesRoSaNChk1mAh7bcIXpDPqS3z9vT0RcPc5wFFa9omUPmRwJUFaBWOFngGQ7l3JcOVQsiJXj43uJSPoBGeBKLID2WA7OiQjfzi1KtXPxwr5-R0Nhq5CYsEXRgoswIy8veuAd4_76_1JPREkco5B7Qi_lIPOIq7zQQx1RjfSJcyiNp2fczE-wBkkaDgNJoPusNflVPMoQBv8llWikFDEK1VmnxOhOVuiRFCoOEI4qU4NSICYWN1fNjAjtjAQzzCXNvnQoHMM.h3SYexc0b9H-12DEkeU1DpLUM5p8LBNrSj7sUVMSQb8&dib_tag=se&keywords=BLDC+and+ESC&qid=1786902445&sprefix=bldc+and+es%2Caps%2C256&sr=8-17,$23
Battery Connectors,https://www.amazon.com/dp/B08889QL6Q?lv=shuf&keywords=rc+airplane+battery+connectors&dib_tag=se&pd_rd_wg=LcI15&pd_rd_i=rc+airplane+battery+connectors&content-id=amzn1.sym.48c6b427-a259-44b4-afc3-8cb0f0dbcf97%3Aamzn1.sym.48c6b427-a259-44b4-afc3-8cb0f0dbcf97&pd_rd_w=p8IKO&dib=eyJ2IjoiMSJ9.twNKu-A8Oq71oJgfDhCFHSBXDXIAQd54hmPxZB67tOzIOgKJfH0rcJb4UctkapL50ICDePH2Wf1xf84ruyPsyBqsf94uU97L_oWQ_2FXg6dF-5DPlvbvBfhpS22MTSjFsaXqepKhbxhWsG0ahciA1i7yf81HKf4hGvdiWMl2raXD-YJTHEqwxiJ8LxY78ch7VuorNrsJ5mjKubDOWeOsx4BcYaHwoz46-g7vVD-oqhdp8K4_IdjUDx66KoKbyZTndDESG_4bHFSLyESnN2Y5LMCQypVk5e_N--VW85Riji4.6WShh0s8UrxJPAr5Mlws26tCGqyMkGVUBwme9-YnSyo&qid=1786902546&pd_rd_r=c39c750b-80fa-40d4-9c7d-d6a8889173ba&sr=8-7&channelId=500&ref_=sr_1_7&plpRedirect=mhFallback,$7
,,Total of $360
